Order ID,Order Date,Unit Cost,Price,Order Qty,Channel,Promotion_name,Product_Name,Manufacturer_ID,Product Sub Category,Product Category_Name,Region,City,Country_Name,Order Date (Year),Order Date (Quarter),Order Date (Month Index),Order Date (Month),Price After Discount
252,10/23/2016,10,39.99,10,Store,No Discount,Contoso Electronic Private Automatic Branch Exchange M90 Black,1,Home & Office Phones,Cell phones,North America,Bayonne,United States,2016,Qtr4,10,Oct,1.9995
321,9/14/2016,8,28.99,10,Store,No Discount,Contoso Hybrid system M60 Black,1,Home & Office Phones,Cell phones,North America,Denver,United States,2016,Qtr3,9,Sep,1.4495
855,10/21/2017,13,49.99,10,Store,No Discount,Contoso behind Centrex X15 Grey,1,Home & Office Phones,Cell phones,North America,Lynn,United States,2017,Qtr4,10,Oct,2.4995
963,10/27/2018,1,26.99,10,Store,No Discount,Contoso KSU-less key system M38 Grey,1,Home & Office Phones,Cell phones,North America,New York,United States,2018,Qtr4,10,Oct,1.8893
1089,10/6/2016,10,42.99,10,Store,No Discount,Contoso Centrex Phone System L10 White,1,Home & Office Phones,Cell phones,North America,Spring,United States,2016,Qtr4,10,Oct,3.0093
1090,10/27/2016,9,28.99,10,Store,No Discount,Contoso 2-Line Corded Cordless Telephone M202 Black,1,Home & Office Phones,Cell phones,North America,Lewisville,United States,2016,Qtr4,10,Oct,1.4495
1607,3/3/2018,1,9.99,10,Store,No Discount,Contoso Single-line phones E10 Black,1,Home & Office Phones,Cell phones,North America,Morristown,United States,2018,Qtr1,3,Mar,0.6993
1864,10/30/2016,17,46.99,10,Store,No Discount,Contoso In front of Centrex L15 Grey,1,Home & Office Phones,Cell phones,North America,Provincetown,United States,2016,Qtr4,10,Oct,46.99
1968,3/10/2017,11,26.99,10,Store,No Discount,Contoso KSU-less key system M38 Grey,1,Home & Office Phones,Cell phones,North America,La Porte,United States,2017,Qtr1,3,Mar,26.99
2133,3/14/2019,7,42,10,Store,No Discount,Contoso Integrated Business Phone With card L10 Black,1,Home & Office Phones,Cell phones,North America,Attleboro,United States,2019,Qtr1,3,Mar,2.94
2302,10/26/2016,11,22.99,10,Store,No Discount,Contoso Expandable Cordless Phone System M008 Black,1,Home & Office Phones,Cell phones,North America,Orono,United States,2016,Qtr4,10,Oct,22.99
2549,9/22/2016,3,35.99,10,Store,No Discount,Contoso Expandable 3-Handset Cordless Phone System M204 White,1,Home & Office Phones,Cell phones,North America,Racine,United States,2016,Qtr3,9,Sep,2.5193
2594,9/21/2017,21,38.99,10,Store,No Discount,Contoso Private Automatic Branch Exchange M65 Grey,1,Home & Office Phones,Cell phones,North America,Atlantic City,United States,2017,Qtr3,9,Sep,38.99
2723,11/24/2016,14,31,10,Store,No Discount,Contoso Integrated Business Phone L08 White,1,Home & Office Phones,Cell phones,North America,Key West,United States,2016,Qtr4,11,Nov,31
2734,10/7/2016,21,22.99,10,Store,No Discount,Contoso Expandable Cordless Phone System M008 Grey,1,Home & Office Phones,Cell phones,North America,New Castle,United States,2016,Qtr4,10,Oct,22.99
2795,11/10/2016,15,49.99,10,Store,No Discount,Contoso behind Centrex X15 Black,1,Home & Office Phones,Cell phones,North America,Granger,United States,2016,Qtr4,11,Nov,2.4995
